sample,rootstock,scion,location,year,E,A,gsw
C141,5C,chard,san joaquin,y2018,0.002463171,6.689200795,0.074563255
C141,5C,chard,san joaquin,y2018,0.002046891,6.507493697,0.057085778
C145,5C,chard,merced,y2018,0.003888798,13.06122065,0.124720768
C145,5C,chard,merced,y2018,0.00279017,9.005802226,0.087123506
C146,5C,chard,merced,y2018,0.001964119,7.797389685,0.062183136
C146,5C,chard,merced,y2018,0.002771466,9.548654985,0.087600023
C147,5C,chard,merced,y2018,0.002089409,7.270004045,0.064401385
C147,5C,chard,merced,y2018,0.00244365,9.063108414,0.080535495
C160,5C,cab,madera,y2018,0.008903869,21.40191593,0.358254295
C160,5C,cab,madera,y2018,0.009120355,20.48467898,0.375821135
C161,5C,cab,madera,y2018,0.005704693,17.55140571,0.204908613
C161,5C,cab,madera,y2018,0.005383043,15.34591732,0.187668074
C162,5C,cab,madera,y2018,0.003122471,12.56152005,0.102595079
C162,5C,cab,madera,y2018,0.002441972,8.959095366,0.074596446
C169,5C,chard,san joaquin,y2018,0.003963133,15.63758002,0.160593949
C169,5C,chard,san joaquin,y2018,0.003076098,13.12088647,0.119814034
C170,5C,chard,san joaquin,y2018,0.004056649,15.35014188,0.165665419
C170,5C,chard,san joaquin,y2018,0.002880812,10.96676437,0.113878222
C171,5C,chard,san joaquin,y2018,0.007158043,19.75924179,0.306083092
C171,5C,chard,san joaquin,y2018,0.005991998,18.94606524,0.252909307
C181,5C,cab,san joaquin,y2018,0.003332418,14.22911488,0.1231909
C181,5C,cab,san joaquin,y2018,0.001677362,8.677357859,0.062640443
C182,5C,cab,san joaquin,y2018,0.001363961,6.286440471,0.049276985
C182,5C,cab,san joaquin,y2018,0.001984756,8.834663448,0.068110748
C183,5C,cab,san joaquin,y2018,0.002693394,12.26700565,0.099539416
C183,5C,cab,san joaquin,y2018,0.002978262,11.43928539,0.105341426
C196,5C,chard,merced,y2018,0.001440887,5.226672635,0.04520022
C196,5C,chard,merced,y2018,0.00151776,5.350338316,0.049398028
C197,5C,chard,merced,y2018,0.001382652,6.204055201,0.041590374
C197,5C,chard,merced,y2018,0.001360114,4.961782702,0.041127685
C198,5C,chard,merced,y2018,0.001579768,6.526919873,0.048239351
C198,5C,chard,merced,y2018,0.000789443,3.860196467,0.02372285
C199,5C,cab,madera,y2018,0.006073434,18.01840915,0.23865517
C199,5C,cab,madera,y2018,0.006657531,19.10683264,0.261202596
C200,5C,cab,madera,y2018,0.009598072,23.31643691,0.4084502
C200,5C,cab,madera,y2018,0.008182372,19.4563271,0.353714897
C201,5C,cab,madera,y2018,0.009765254,20.99636493,0.416668362
C201,5C,cab,madera,y2018,0.009246858,23.72075133,0.392521751
C211,5C,cab,san joaquin,y2018,0.001698275,7.847674941,0.058199436
C211,5C,cab,san joaquin,y2018,0.001067844,4.969807427,0.035537908
C212,5C,cab,san joaquin,y2018,0.002112192,8.3799489,0.072922401
C212,5C,cab,san joaquin,y2018,0.00155461,7.397071678,0.053694025
C213,5C,cab,san joaquin,y2018,0.002158152,9.836285825,0.073377941
C213,5C,cab,san joaquin,y2018,0.001315722,5.025875836,0.045662899
C223,5C,chard,san joaquin,y2018,0.003572818,13.02115634,0.142458107
C223,5C,chard,san joaquin,y2018,0.004155278,12.99019137,0.168019092
C224,5C,chard,san joaquin,y2018,0.003387059,11.73951925,0.136046675
C224,5C,chard,san joaquin,y2018,0.002271781,9.625278511,0.08777751
C225,5C,chard,san joaquin,y2018,0.002773162,11.59195071,0.108982948
C225,5C,chard,san joaquin,y2018,0.003185837,12.44710881,0.126854847
C235,5C,chard,merced,y2018,0.002361311,9.273841268,0.083564893
C235,5C,chard,merced,y2018,0.001908891,7.588020229,0.064785581
C236,5C,chard,merced,y2018,0.001868213,7.139362125,0.062018936
C236,5C,chard,merced,y2018,0.001281279,4.298493759,0.040062223
C237,5C,chard,merced,y2018,0.002765322,9.476710081,0.08617491
C237,5C,chard,merced,y2018,0.002420931,7.264234273,0.078173412
C250,5C,cab,madera,y2018,0.007220938,19.85394931,0.295302864
C250,5C,cab,madera,y2018,0.009032562,22.24429309,0.398272006
C251,5C,cab,madera,y2018,0.005622912,17.79278627,0.222442567
C251,5C,cab,madera,y2018,0.005242557,16.95856099,0.214435394
C252,5C,cab,madera,y2018,0.004157722,15.37176499,0.152788695
C252,5C,cab,madera,y2018,0.003556267,12.65529938,0.141613788
C253,5C,chard,san joaquin,y2018,0.001824477,8.946012569,0.070412399
C253,5C,chard,san joaquin,y2018,0.001475998,7.780213614,0.05560709
C254,5C,chard,san joaquin,y2018,0.001710463,8.582023149,0.065644297
C254,5C,chard,san joaquin,y2018,0.001411309,7.667793935,0.055554972
C255,5C,chard,san joaquin,y2018,0.001935102,9.349731821,0.074284875
C255,5C,chard,san joaquin,y2018,0.001743359,8.691529727,0.068772429
C262,5C,cab,san joaquin,y2018,0.001300406,4.944728598,0.050220681
C262,5C,cab,san joaquin,y2018,0.001410339,5.287881392,0.053671159
C263,5C,cab,san joaquin,y2018,0.000505008,4.699454149,0.017837288
C263,5C,cab,san joaquin,y2018,0.000943893,5.371868557,0.034955326
C264,5C,cab,san joaquin,y2018,0.002083373,10.21134719,0.076951414
C264,5C,cab,san joaquin,y2018,0.001189404,7.192640458,0.044451845
C274,5C,chard,merced,y2018,0.003329133,13.254016,0.133424622
C274,5C,chard,merced,y2018,0.00188644,9.770793948,0.067232814
C275,5C,chard,merced,y2018,0.001929058,9.656194454,0.075281798
C275,5C,chard,merced,y2018,0.001599064,7.985750433,0.059810045
C276,5C,chard,merced,y2018,0.00235456,9.411082153,0.089404525
C276,5C,chard,merced,y2018,0.001368337,8.071523836,0.052693733
C289,5C,cab,madera,y2018,0.003507685,14.60192552,0.134256433
C289,5C,cab,madera,y2018,0.003339358,13.74276121,0.128700104
C290,5C,cab,madera,y2018,0.003510479,12.24384491,0.13177126
C290,5C,cab,madera,y2018,0.003810405,13.94697782,0.149316025
C291,5C,cab,madera,y2018,0.005267209,17.02212841,0.214289024
C291,5C,cab,madera,y2018,0.004550897,13.15219079,0.178733282
C295,5C,cab,san joaquin,y2018,0.003791133,13.23438984,0.125141451
C295,5C,cab,san joaquin,y2018,0.002959331,10.52879106,0.09758603
C296,5C,cab,san joaquin,y2018,0.003896152,12.80825993,0.132697633
C296,5C,cab,san joaquin,y2018,0.003481237,11.77518985,0.120565448
C297,5C,cab,san joaquin,y2018,0.00459146,13.38375703,0.166685377
C297,5C,cab,san joaquin,y2018,0.004184316,13.76956769,0.152939909
C304,5C,chard,san joaquin,y2018,0.002605399,9.491944942,0.076090519
C304,5C,chard,san joaquin,y2018,0.002179338,8.190116119,0.068146944
C305,5C,chard,san joaquin,y2018,0.001727012,7.168295629,0.055406948
C305,5C,chard,san joaquin,y2018,0.001129684,5.107892636,0.037275287
C306,5C,chard,san joaquin,y2018,0.00137654,6.09551598,0.046271738
C306,5C,chard,san joaquin,y2018,0.00168772,6.593983572,0.058387122
C313,5C,chard,merced,y2018,0.002851436,11.43387118,0.111319006
C313,5C,chard,merced,y2018,0.002948496,11.52745655,0.118465394
C314,5C,chard,merced,y2018,0.003027923,12.43738555,0.121849311
C314,5C,chard,merced,y2018,0.002213192,9.974760487,0.086194323
C315,5C,chard,merced,y2018,0.002025739,9.604395867,0.078631329
C315,5C,chard,merced,y2018,0.001564704,6.700613784,0.059727621
C328,5C,cab,madera,y2018,0.006160633,19.05440292,0.264331226
C328,5C,cab,madera,y2018,0.004298432,16.09368422,0.175959181
C329,5C,cab,madera,y2018,0.004421911,15.75199695,0.179310537
C329,5C,cab,madera,y2018,0.003317677,13.0107313,0.133389733
C330,5C,cab,madera,y2018,0.005262503,17.56706997,0.212734129
C330,5C,cab,madera,y2018,0.004673384,17.91976145,0.189686367
C337,5C,cab,san joaquin,y2019,0.00557753,19.64783901,0.221564903
C337,5C,cab,san joaquin,y2019,0.006274656,19.91907831,0.256520802
C338,5C,cab,san joaquin,y2019,0.006650487,20.38587334,0.28181694
C338,5C,cab,san joaquin,y2019,0.007074524,21.1755578,0.292702183
C339,5C,cab,san joaquin,y2019,0.008551952,24.4681792,0.3537444
C339,5C,cab,san joaquin,y2019,0.002312253,11.98539418,0.087694544
C349,5C,chard,san joaquin,y2019,0.010217585,21.1973339,0.44779906
C349,5C,chard,san joaquin,y2019,0.003603015,13.1820697,0.138139906
C350,5C,chard,san joaquin,y2019,0.00653775,19.84413357,0.271974787
C350,5C,chard,san joaquin,y2019,0.006391844,20.3456889,0.262763806
C351,5C,chard,san joaquin,y2019,0.005747281,18.00347096,0.233656456
C351,5C,chard,san joaquin,y2019,0.004179858,16.23208064,0.164152488
C377,5C,cab,madera,y2019,0.005214744,17.71103098,0.199828982
C377,5C,cab,madera,y2019,0.005855811,15.98619839,0.236601315
C378,5C,cab,madera,y2019,0.006118566,19.89150565,0.241402517
C378,5C,cab,madera,y2019,0.004057124,16.35289036,0.1582616
C376,5C,cab,madera,y2019,0.001957867,8.754033223,0.067269858
C376,5C,cab,madera,y2019,0.00334026,12.84669366,0.116635609
C361,5C,chard,merced,y2019,0.007109535,18.10606288,0.302089551
C361,5C,chard,merced,y2019,0.007942206,20.61431859,0.340480131
C362,5C,chard,merced,y2019,0.006262309,15.30048259,0.261357401
C362,5C,chard,merced,y2019,0.008547671,19.65770262,0.389094677
C363,5C,chard,merced,y2019,0.008102388,21.11706776,0.342928254
C363,5C,chard,merced,y2019,0.006986342,17.86778876,0.30403797
C379,5C,chard,san joaquin,y2019,0.006782707,19.42315033,0.295262138
C379,5C,chard,san joaquin,y2019,0.009028336,19.7263422,0.445269149
C380,5C,chard,san joaquin,y2019,0.006249396,19.07497522,0.256941894
C380,5C,chard,san joaquin,y2019,0.007039138,20.91701067,0.300724476
C381,5C,chard,san joaquin,y2019,0.008840451,23.51651918,0.411549783
C381,5C,chard,san joaquin,y2019,0.00729453,19.18067518,0.31754021
C388,5C,cab,san joaquin,y2019,0.005424407,19.5966146,0.2133939
C388,5C,cab,san joaquin,y2019,0.006218498,21.78724745,0.252342867
C389,5C,cab,san joaquin,y2019,0.006951775,21.20473476,0.283674325
C389,5C,cab,san joaquin,y2019,0.006415396,20.70137523,0.259372231
C390,5C,cab,san joaquin,y2019,0.004897177,17.64532579,0.186720887
C390,5C,cab,san joaquin,y2019,0.006444512,21.38421546,0.259959971
C415,5C,cab,madera,y2019,0.006492512,18.65247798,0.276438024
C415,5C,cab,madera,y2019,0.005318524,15.84945826,0.221341199
C416,5C,cab,madera,y2019,0.007259964,20.49144154,0.329235775
C416,5C,cab,madera,y2019,0.00380769,14.01684318,0.157090355
C417,5C,cab,madera,y2019,0.005869569,18.60217265,0.248902361
C417,5C,cab,madera,y2019,0.007083466,19.69301107,0.301106141
C400,5C,chard,merced,y2019,0.002545405,9.31154546,0.102051119
C400,5C,chard,merced,y2019,0.003606846,12.47622687,0.147156258
C401,5C,chard,merced,y2019,0.003776359,13.18579995,0.153458218
C401,5C,chard,merced,y2019,0.005630035,17.63166501,0.239640856
C402,5C,chard,merced,y2019,0.004956704,15.53188207,0.206877275
C402,5C,chard,merced,y2019,0.002900074,10.0803225,0.115599821
C420_2,5C,cab,san joaquin,y2019,0.003894194,16.04591303,0.156476568
C420_2,5C,cab,san joaquin,y2019,0.003908339,16.63979458,0.155396917
C421,5C,cab,san joaquin,y2019,0.007381792,23.13529183,0.318710022
C421,5C,cab,san joaquin,y2019,0.00526012,18.63100306,0.220546601
C422,5C,cab,san joaquin,y2019,0.006827187,19.5227688,0.296627071
C422,5C,cab,san joaquin,y2019,0.005155492,19.6236285,0.215600064
C432,5C,chard,san joaquin,y2019,0.008543033,23.06698289,0.368313795
C432,5C,chard,san joaquin,y2019,0.003864307,13.88106872,0.162948236
C433,5C,chard,san joaquin,y2019,0.006308697,19.44245151,0.280917309
C433,5C,chard,san joaquin,y2019,0.004645462,15.7083567,0.191676945
C434,5C,chard,san joaquin,y2019,0.00794853,22.13672664,0.339506656
C434,5C,chard,san joaquin,y2019,0.004560108,16.11295437,0.189712149
C453,5C,cab,madera,y2019,0.007233817,20.64501783,0.315061535
C453,5C,cab,madera,y2019,0.005839865,19.78147421,0.235608158
C454,5C,cab,madera,y2019,0.004208867,16.05540962,0.171677088
C454,5C,cab,madera,y2019,0.003663246,15.30774337,0.149055432
C455,5C,cab,madera,y2019,0.00330101,12.79648803,0.130629508
C455,5C,cab,madera,y2019,0.004458309,15.77506913,0.174400294
C438,5C,chard,merced,y2019,0.003890387,13.73108809,0.156309812
C438,5C,chard,merced,y2019,0.001697401,7.53266479,0.066974647
C439,5C,chard,merced,y2019,0.00339548,11.46250874,0.135691366
C439,5C,chard,merced,y2019,0.005072826,16.28963985,0.214221924
C440,5C,chard,merced,y2019,0.002864104,10.31302607,0.11335194
C440,5C,chard,merced,y2019,0.003287229,11.98494785,0.133660289
C462,5C,chard,san joaquin,y2019,0.006024221,17.19961601,0.261318808
C462,5C,chard,san joaquin,y2019,0.005015981,15.40217763,0.22398805
C463,5C,chard,san joaquin,y2019,0.006015952,16.58627129,0.269749158
C463,5C,chard,san joaquin,y2019,0.004715519,14.00752625,0.214448957
C464,5C,chard,san joaquin,y2019,0.007841747,21.26018934,0.372172689
C464,5C,chard,san joaquin,y2019,0.003954354,13.05801228,0.164915605
C474,5C,cab,san joaquin,y2019,0.002668758,12.38270691,0.104415212
C474,5C,cab,san joaquin,y2019,0.005308273,17.03158102,0.214938354
C475,5C,cab,san joaquin,y2019,0.003607298,13.59656244,0.141998329
C475,5C,cab,san joaquin,y2019,0.002307398,10.46187448,0.089931088
C476,5C,cab,san joaquin,y2019,0.003641492,14.47593426,0.144919765
C476,5C,cab,san joaquin,y2019,0.002219341,8.828341411,0.085788254
C489,5C,chard,merced,y2019,0.005303894,16.70331895,0.218513371
C489,5C,chard,merced,y2019,0.004028078,14.55452836,0.164783051
C490,5C,chard,merced,y2019,0.004726714,15.80950219,0.20109353
C490,5C,chard,merced,y2019,0.004074759,14.20007707,0.162307776
C491,5C,chard,merced,y2019,0.003009572,13.27499795,0.123190879
C491,5C,chard,merced,y2019,0.002929165,13.38061432,0.117659293
C492,5C,cab,madera,y2019,0.002549017,9.921784117,0.097236067
C492,5C,cab,madera,y2019,0.005979707,18.65744,0.252352065
C493,5C,cab,madera,y2019,0.009590977,26.28306724,0.408221809
C493,5C,cab,madera,y2019,0.007409017,22.69007665,0.307170452
C494,5C,cab,madera,y2019,0.008386901,21.75254826,0.368497088
C494,5C,cab,madera,y2019,0.010208685,24.61770405,0.452636193
C528,5C,chard,merced,y2019,0.001063925,6.702283254,0.041135583
C528,5C,chard,merced,y2019,0.001194452,6.095416895,0.047329837
C529,5C,chard,merced,y2019,0.001710877,7.827620363,0.065730455
C529,5C,chard,merced,y2019,0.001281625,7.441013948,0.048812379
C530,5C,chard,merced,y2019,0.002151804,9.146139791,0.082056149
C530,5C,chard,merced,y2019,0.001791472,8.407904745,0.070295337
C543,5C,cab,madera,y2019,0.005030236,18.20773021,0.199733519
C543,5C,cab,madera,y2019,0.00758115,22.46901679,0.319946574
C544,5C,cab,madera,y2019,0.003921908,15.67434733,0.156063754
C544,5C,cab,madera,y2019,0.006923506,21.18086694,0.287687457
C545,5C,cab,madera,y2019,0.005134135,17.99084109,0.213391496
C545,5C,cab,madera,y2019,0.004680333,16.45228072,0.185304851
C504,5C,cab,san joaquin,y2019,0.004864782,18.24503641,0.201159717
C504,5C,cab,san joaquin,y2019,0.004710137,18.98407434,0.197099733
C505,5C,cab,san joaquin,y2019,0.005069469,18.49175649,0.214640892
C505,5C,cab,san joaquin,y2019,0.007793053,23.96474305,0.340404106
C506,5C,cab,san joaquin,y2019,0.006064933,19.92633883,0.260355032
C506,5C,cab,san joaquin,y2019,0.006080098,20.7995127,0.262839208
C516,5C,chard,san joaquin,y2019,0.004823747,15.017296,0.19926717
C516,5C,chard,san joaquin,y2019,0.003425675,11.547097,0.137098298
C517,5C,chard,san joaquin,y2019,0.002990936,10.70683161,0.122999652
C517,5C,chard,san joaquin,y2019,0.003773032,10.26319069,0.154272611
C518,5C,chard,san joaquin,y2019,0.002766301,10.63891507,0.110962285
C518,5C,chard,san joaquin,y2019,0.003251961,11.29451609,0.132450504
C546,5C,chard,san joaquin,y2019,0.002634716,12.1731222,0.103997972
C546,5C,chard,san joaquin,y2019,0.003946215,15.48261343,0.157914198
C547,5C,chard,san joaquin,y2019,0.002113465,9.699470146,0.081002087
C547,5C,chard,san joaquin,y2019,0.002398126,9.541633158,0.099973329
C548,5C,chard,san joaquin,y2019,0.003579418,12.7926674,0.147876322
C548,5C,chard,san joaquin,y2019,0.003487291,12.72196212,0.138785281
C555,5C,cab,san joaquin,y2019,0.003851203,16.17526434,0.160293184
C555,5C,cab,san joaquin,y2019,0.003632029,14.97165536,0.14477332
C556,5C,cab,san joaquin,y2019,0.003306609,14.28837841,0.130524937
C556,5C,cab,san joaquin,y2019,0.001709977,10.64384338,0.063869704
C557,5C,cab,san joaquin,y2019,0.003527032,12.49422022,0.139512375
C557,5C,cab,san joaquin,y2019,0.001575871,9.917454681,0.060885742
C567,5C,chard,merced,y2019,0.002882646,9.277669596,0.101395847
C567,5C,chard,merced,y2019,0.002751765,9.745033429,0.106846351
C568,5C,chard,merced,y2019,0.00229223,9.912806966,0.088006119
C568,5C,chard,merced,y2019,0.001527579,5.838510104,0.061175733
C569,5C,chard,merced,y2019,0.002226776,9.904354296,0.089749998
C569,5C,chard,merced,y2019,0.001900276,9.299569731,0.070950775
C582,5C,cab,madera,y2019,0.004826625,14.24082558,0.154271394
C582,5C,cab,madera,y2019,0.006539309,18.39191789,0.235160659
C583,5C,cab,madera,y2019,0.005901256,19.21512519,0.229484969
C583,5C,cab,madera,y2019,0.005239666,17.58700213,0.211322695
C584,5C,cab,madera,y2019,0.004872529,17.2208581,0.19465313
C584,5C,cab,madera,y2019,0.006772537,20.76254346,0.276988437
C588,5C,cab,san joaquin,y2019,0.006327514,21.67122561,0.26709222
C588,5C,cab,san joaquin,y2019,0.00251037,10.29959876,0.104351188
C589,5C,cab,san joaquin,y2019,0.004421613,15.70868248,0.179194547
C589,5C,cab,san joaquin,y2019,0.004004418,14.6622273,0.16329586
C590,5C,cab,san joaquin,y2019,0.005509681,17.05345771,0.238355072
C590,5C,cab,san joaquin,y2019,0.005755632,19.12591287,0.245070899
C597,5C,chard,san joaquin,y2019,0.002441344,9.176482865,0.098109947
C597,5C,chard,san joaquin,y2019,0.00437337,14.25385458,0.181715399
C598,5C,chard,san joaquin,y2019,0.001947914,8.508529507,0.078660713
C598,5C,chard,san joaquin,y2019,0.002671613,10.69277397,0.10650898
C599,5C,chard,san joaquin,y2019,0.00479155,15.48104114,0.205243771
C599,5C,chard,san joaquin,y2019,0.004385153,13.32331882,0.185545805
C606,5C,chard,merced,y2019,0.002323931,9.889000816,0.092011815
C606,5C,chard,merced,y2019,0.002829525,12.33654515,0.115588696
C607,5C,chard,merced,y2019,0.003186542,13.01042464,0.129552027
C607,5C,chard,merced,y2019,0.001748729,7.585184201,0.069709438
C608,5C,chard,merced,y2019,0.001888647,8.553926332,0.072353114
C608,5C,chard,merced,y2019,0.00230447,9.869633704,0.091522059
C621,5C,cab,madera,y2019,0.004959846,17.55898662,0.203001331
C621,5C,cab,madera,y2019,0.004908126,15.46299644,0.200414268
C622,5C,cab,madera,y2019,0.005271696,18.01374618,0.214160851
C622,5C,cab,madera,y2019,0.005741422,18.72383499,0.236993534
C623,5C,cab,madera,y2019,0.005541195,16.00033396,0.222449122
C623,5C,cab,madera,y2019,0.00390732,14.85652595,0.15513058
